Experiment name, Number of hosts, Number of VMs, Total simulation time, Energy consumption, Number of VM migrations, SLA, SLA perf degradation due to migration, SLA time per active host, Overall SLA violation, Average SLA violation, Number of host shutdowns, Mean time before a host shutdown, StDev time before a host shutdown, Mean time before a VM migration, StDev time before a VM migration, VM selection mean, VM selection stDev, host selection mean, host selection stDev, VM reallocation mean, VM reallocation stDev, total mean, total stDev
20110303_iqr_rs_1.5_it2fuzzy_intersection_maxmin_and_union_minmax_reduction_centerofsets,800,1052,86400.0,109.875056457232,23020,0.006674030208802828,0.0948654911330144,7.03525605474906,0.11980619761144795,9.27534357825977,3495,929.9959805436315,2316.008977998823,19.648686346866185,8.198152806457168,7.421602787456451E-4,6.05683629905569E-4,0.04762020905923337,0.01098371375211086,0.029770034843205558,0.013713453949663846,0.3169616724738672,2.6127050196118358
20110303_lrr_rs_1.2_it2fuzzy_intersection_maxmin_and_union_minmax_reduction_centerofsets,800,1052,86400.0,93.74518306417144,6683,0.0011352948110489832,0.02610579516009259,4.348822949413492,0.04502159880401266,8.620106513254115,1169,1696.5903404619055,6455.246553656107,19.702352976820258,8.198569293789808,3.34494773519164E-4,4.7997851693678975E-4,0.04618815331010452,0.010526330575704016,0.010888501742160253,0.00591857100256553,0.2630383275261317,2.4754621766523432
20110303_mad_rs_2.5_it2fuzzy_intersection_maxmin_and_union_minmax_reduction_centerofsets,800,1052,86400.0,108.87740518748365,22083,0.0069132204978832575,0.09561591198234326,7.23019877607806,0.13331567975113195,9.326269199279595,3348,954.1620262843464,2450.590140446553,19.837904752753563,8.177262513510525,6.93379790940767E-4,6.059651655235047E-4,0.0475226480836236,0.004058834268663485,0.029905923344947703,0.015170644722450092,0.3161358885017419,2.5942714215637652
20110303_thr_rs_0.8_it2fuzzy_intersection_maxmin_and_union_minmax_reduction_centerofsets,800,1052,86400.0,74.32595064010819,2209,0.0031509670555020593,0.004849495119808998,64.97515674634111,10.710751108039148,14.0766829640469,786,819.8024122137311,3867.3047037389256,19.431887732004462,8.348927291270765,3.4843205574912894E-6,5.9028133610095526E-5,0.045550522648083604,0.0042799816276331,0.0,0.0,0.24348780487804947,2.4597004122164456
20110306_iqr_rs_1.5_it2fuzzy_intersection_maxmin_and_union_minmax_reduction_centerofsets,800,898,86400.0,86.36526905021604,17854,0.006655591852242579,0.09512102864347972,6.9969721176883,0.12243214885025863,9.599474338437133,2938,893.2665268890341,2280.8918694749054,19.639286724089725,8.19658129302206,5.331010452961677E-4,5.336100173284879E-4,0.04642857142857135,0.003980848257237751,0.019247386759581847,0.009664554866597553,0.2628571428571423,2.308181599810182
20110306_lrr_rs_1.2_it2fuzzy_intersection_maxmin_and_union_minmax_reduction_centerofsets,800,898,86400.0,71.9091519125571,5345,0.001098792929931808,0.025680679683054073,4.278675422507875,0.04750308156531432,8.934081428844957,1013,1511.0557472852734,6024.492604204761,19.417039118874737,8.204148916090958,2.50871080139373E-4,4.342716844430097E-4,0.04588153310104527,0.009727757869409506,0.006930313588850149,0.004630624069382826,0.22606271777003492,2.1685483276144857
20110306_mad_rs_2.5_it2fuzzy_intersection_maxmin_and_union_minmax_reduction_centerofsets,800,898,86400.0,85.08579642131072,17442,0.006753683153079462,0.09666569303031428,6.986639149177271,0.13222402064728672,9.606167254182193,3000,874.5676159999987,2325.744386189282,19.693029702973227,8.183537544933124,5.818815331010458E-4,5.604249884995353E-4,0.04565853658536584,0.0031225194828630974,0.01925783972125434,0.010136984810639895,0.2588885017421598,2.25488182782485
20110306_thr_rs_0.8_it2fuzzy_intersection_maxmin_and_union_minmax_reduction_centerofsets,800,898,86400.0,56.35498149986529,1938,0.0029423402420184906,0.004896846937858586,60.08642457804062,12.525943352389534,16.89441191903869,789,683.5214651457543,2848.2446808769614,19.1208090815269,8.326661239084967,0.0,0.0,0.043592334494773344,0.0021281522369572367,3.4843205574912894E-6,5.9028133610095526E-5,0.20569686411149846,2.0646379850196355
20110309_iqr_rs_1.5_it2fuzzy_intersection_maxmin_and_union_minmax_reduction_centerofsets,800,1061,86400.0,92.42089462190563,20003,0.006923010864238585,0.09904569965489564,6.989713726451923,0.1230887173182816,9.796034246500783,3268,889.2517503059953,2102.2094838228268,19.688005072390197,8.174395118512987,5.435540069686415E-4,5.458219403839656E-4,0.04692334494773523,0.0024809156814283844,0.022331010452961635,0.012866114492039471,0.2949512195121943,2.5015165786810885
20110309_lrr_rs_1.2_it2fuzzy_intersection_maxmin_and_union_minmax_reduction_centerofsets,800,1061,86400.0,76.737894683129,7825,0.001895918532981445,0.03605987204585929,5.257696229676863,0.0713627734926304,8.96031331864617,1243,1562.0248688656234,5925.686196554755,19.700390551177506,8.178034043689639,3.066202090592337E-4,4.618956895033493E-4,0.04445993031358885,0.0027566126463179613,0.008986062717770001,0.006511405875199089,0.2519268292682932,2.3407323412190277
