Experiment name, Number of hosts, Number of VMs, Total simulation time, Energy consumption, Number of VM migrations, SLA, SLA perf degradation due to migration, SLA time per active host, Overall SLA violation, Average SLA violation, Number of host shutdowns, Mean time before a host shutdown, StDev time before a host shutdown, Mean time before a VM migration, StDev time before a VM migration, VM selection mean, VM selection stDev, host selection mean, host selection stDev, VM reallocation mean, VM reallocation stDev, total mean, total stDev
20110303_iqr_rs_1.5_it2fuzzy_intersection_maxmin_and_union_minmax_reduction_centroid,800,1052,86400.0,110.56473039450364,23360,0.006800984954302473,0.09522465285854785,7.142042265467794,0.1205734982599837,9.167540401431443,3487,945.2677120734143,2352.8581844272508,19.673705037613622,8.203981753691457,8.745644599303142E-4,6.354457731550339E-4,0.12283972125435529,0.014951977577847773,0.03189198606271775,0.0138871137591382,0.6938257839721261,6.437572105452432
20110303_lrr_rs_1.2_it2fuzzy_intersection_maxmin_and_union_minmax_reduction_centroid,800,1052,86400.0,95.91716149675393,7355,0.0013253755251624263,0.028435766077748427,4.660945379627243,0.04910181528119239,8.445652165285846,1224,1796.6225228757876,7260.713464261648,19.764520199222552,8.200700411959222,3.972125435540073E-4,4.972574083829817E-4,0.12054006968641116,0.007789918444101724,0.011975609756097533,0.005973961351130387,0.6370731707317059,6.350713545467579
20110303_mad_rs_2.5_it2fuzzy_intersection_maxmin_and_union_minmax_reduction_centroid,800,1052,86400.0,109.25566456335295,22385,0.006821562749437397,0.09486290817922749,7.1909694530439685,0.13231592620030647,9.092918683477205,3507,922.9966626746495,2375.8680235131637,19.65534603144692,8.19088245725975,9.059233449477358E-4,6.596776345428463E-4,0.12323344947735194,0.006327694396949004,0.03300348432055747,0.01611377776844732,0.7027177700348435,6.543949964688561
20110303_thr_rs_0.8_it2fuzzy_intersection_maxmin_and_union_minmax_reduction_centroid,800,1052,86400.0,74.32595064010819,2209,0.0031509670555020593,0.004849495119808998,64.97515674634111,10.710751108039148,14.0766829640469,786,819.8024122137311,3867.3047037389256,19.431887732004462,8.348927291270765,0.0,0.0,0.11903832752613233,0.002772604741608649,3.4843205574912894E-6,5.9028133610095526E-5,0.6133937282229999,6.224231167875221
20110306_iqr_rs_1.5_it2fuzzy_intersection_maxmin_and_union_minmax_reduction_centroid,800,898,86400.0,85.97093360479695,18204,0.0069410597874204,0.0987553704827241,7.028539059184273,0.12553402134327726,9.574044206933161,2950,880.3396718643995,2195.341148286709,19.657838683322694,8.194144840498538,5.714285714285718E-4,5.164622607057234E-4,0.12032055749128902,0.0033368616755812524,0.02005923344947734,0.00987367642388753,0.5899128919860613,5.642493979666035
20110306_lrr_rs_1.2_it2fuzzy_intersection_maxmin_and_union_minmax_reduction_centroid,800,898,86400.0,73.31974587249394,5312,0.0010569423365033063,0.024311436838669098,4.347510776582992,0.03899826095851029,8.373185574387296,1044,1321.870383141743,5236.029611083205,19.48257208237863,8.220930032961517,2.857142857142859E-4,4.525430419255221E-4,0.11977003484320575,0.004426091702734982,0.007292682926829245,0.004314317777080238,0.5452369337979082,5.414494296065662
20110306_mad_rs_2.5_it2fuzzy_intersection_maxmin_and_union_minmax_reduction_centroid,800,898,86400.0,83.41724031846091,16783,0.006429183977470297,0.09151364145479329,7.025383183605738,0.12478456914772336,9.3444272890442,2709,928.7161373200341,2422.9210958002955,19.583123537228634,8.172585125687535,5.749128919860632E-4,5.488047177820076E-4,0.12039024390243892,0.003856831502801607,0.01942160278745642,0.010128196821185074,0.5865958188153302,5.5964837902997076
20110306_thr_rs_0.8_it2fuzzy_intersection_maxmin_and_union_minmax_reduction_centroid,800,898,86400.0,56.35498149986529,1938,0.0029423402420184906,0.004896846937858586,60.08642457804062,12.525943352389534,16.89441191903869,789,683.5214651457543,2848.2446808769614,19.1208090815269,8.326661239084967,0.0,0.0,0.11985365853658506,0.007417578266357588,6.968641114982579E-6,8.333231808223124E-5,0.5390662020905935,5.378157069817682
20110309_iqr_rs_1.5_it2fuzzy_intersection_maxmin_and_union_minmax_reduction_centroid,800,1061,86400.0,93.05808022338216,20911,0.0073805788834188065,0.10416825535668747,7.085247667964309,0.12791101779311323,9.661421573559647,3217,908.6855480261098,2255.0325059108804,19.701686527055294,8.172861534031709,6.341463414634151E-4,5.930405411136751E-4,0.12091986062717763,0.005485886785804201,0.024097560975609725,0.013840912836812241,0.6729163763066202,6.325937424656913
20110309_lrr_rs_1.2_it2fuzzy_intersection_maxmin_and_union_minmax_reduction_centroid,800,1061,86400.0,77.45424790764896,8128,0.002123409605397077,0.037829923580581834,5.613042280865263,0.09115925187669882,8.822131285330103,1292,1552.5603095975018,5268.656046853774,19.728070787507352,8.171188353291488,3.3101045296167274E-4,4.860070180240974E-4,0.11825087108013933,0.005054229442017086,0.00932404181184667,0.005978067171180061,0.6120696864111482,6.01046640517308
