Experiment name, Number of hosts, Number of VMs, Total simulation time, Energy consumption, Number of VM migrations, SLA, SLA perf degradation due to migration, SLA time per active host, Overall SLA violation, Average SLA violation, Number of host shutdowns, Mean time before a host shutdown, StDev time before a host shutdown, Mean time before a VM migration, StDev time before a VM migration, VM selection mean, VM selection stDev, host selection mean, host selection stDev, VM reallocation mean, VM reallocation stDev, total mean, total stDev
20110303_iqr_rs_1.5,800,1052,86400.0,110.7641053530246,23460,0.00701067539903305,0.09775706761932824,7.171527920961204,0.12333636744797805,9.190594828166871,3499,922.8051123178001,2257.348322445273,19.700106136892053,8.184082738847515,6.829268292682932E-4,9.573899934313231E-4,0.005550522648083617,0.0027615095582976335,0.02952613240418116,0.0134462870855862,0.08227526132404182,0.10759470140519664
20110303_lrr_rs_1.2,800,1052,86400.0,93.30612505750358,6859,0.0012619137589910128,0.028309872344953847,4.457504236030034,0.04763733232005065,8.58930137513892,1158,1670.987616580284,6300.814283743554,19.653607587431743,8.184055391876448,2.50871080139373E-4,4.342716844430098E-4,0.00258885017421603,0.0023140527828183935,0.010717770034843175,0.0067596445919787945,0.036721254355400704,0.0639099481282043
20110303_mad_rs_2.5,800,1052,86400.0,107.05585954794759,22033,0.006700593616937443,0.09382110535868657,7.1418830457395135,0.13008153804344155,9.051744524254774,3368,934.5388171021348,2483.669728125767,19.737231332854144,8.198719023578116,6.062717770034848E-4,5.104115671074089E-4,0.003982578397212544,0.0019832452849032887,0.02993379790940765,0.013788074070529255,0.0801811846689895,0.10971142341598834
20110303_thr_rs_0.8,800,1052,86400.0,111.72967086450817,25364,0.006843594036721659,0.1017827778150814,6.723724959791408,0.10941550572503671,9.744787207260238,3497,947.0063345724852,1916.519341935992,19.80769658155454,8.204833009122526,2.1951219512195136E-4,4.1463916281541654E-4,0.0020243902439024404,0.001451824591464138,0.021167247386759548,0.010823758528826024,0.053121951219512194,0.05938692410136588
20110306_iqr_rs_1.5,800,898,86400.0,85.47217121795224,18130,0.006913563676650097,0.09804256587578727,7.051593983585736,0.1245788735229351,9.760999924918083,2977,883.4524850520596,2211.1979053854457,19.81232690284385,8.154701024088334,3.832752613240421E-4,5.011864289400602E-4,0.002888501742160281,0.0011257197476156214,0.01956445993031355,0.010636156420254271,0.0513135888501742,0.09002905080873987
20110306_lrr_rs_1.2,800,898,86400.0,71.72947505156363,5451,0.0011718884763963595,0.02632834719929544,4.451052196803755,0.049489491141730464,8.608058870209282,1041,1413.3236195965214,5670.038304173305,19.537950929366886,8.206930360459893,1.1846689895470392E-4,3.237246382081649E-4,0.0022648083623693395,0.0010475989271174625,0.0070696864111498,0.0048770212850268455,0.0230975609756097,0.051265088800222465
20110306_mad_rs_2.5,800,898,86400.0,83.58697981966868,17936,0.007164529010181709,0.09940605947603828,7.207336301172576,0.13817865998396675,9.410526970097418,2859,889.3640797481557,2303.773192936745,19.761995859705753,8.14028487433299,4.7735191637630697E-4,5.072991264469782E-4,0.003808362369337979,0.0019237746352549496,0.019209059233449434,0.010833362166250625,0.05345644599303139,0.08971105921438467
20110306_thr_rs_0.8,800,898,86400.0,86.90469786126438,18961,0.0065457090781435205,0.09798257922154,6.680482520615813,0.10623456993550913,9.836298521842389,2924,925.3188290013626,2023.9100884878087,19.79203465511765,8.171187785264525,1.5331010452961685E-4,3.609154802977014E-4,0.0014703832752613253,8.225371329635641E-4,0.014383275261324014,0.008019172768590143,0.03368641114982575,0.04737788045022948
20110309_iqr_rs_1.5,800,1061,86400.0,93.03807321871243,20157,0.007159451211411041,0.10078783063084658,7.103487758987302,0.12455638799886422,9.499301227874394,3211,896.5257776393624,2191.2994713538733,19.77078495417002,8.16622233768652,4.5993031358885047E-4,5.198480096805048E-4,0.0030592334494773544,0.001243153321025416,0.021954703832752585,0.013495455224358962,0.06096864111498249,0.10025692027053794
20110309_lrr_rs_1.2,800,1061,86400.0,76.55745556375655,7042,0.0017498620418233725,0.033632848550448485,5.202836266451295,0.07460924029779731,8.524696562127492,1218,1519.1956650246054,5720.061079089964,19.84187826086746,8.187725436883227,1.7073170731707327E-4,4.038024959548697E-4,0.002149825783972127,9.617828202452343E-4,0.00835540069686408,0.006226985354456433,0.03020905923344945,0.06065612855787408
