Experiment name, Number of hosts, Number of VMs, Total simulation time, Energy consumption, Number of VM migrations, SLA, SLA perf degradation due to migration, SLA time per active host, Overall SLA violation, Average SLA violation, Number of host shutdowns, Mean time before a host shutdown, StDev time before a host shutdown, Mean time before a VM migration, StDev time before a VM migration, VM selection mean, VM selection stDev, host selection mean, host selection stDev, VM reallocation mean, VM reallocation stDev, total mean, total stDev
20110303_iqr_rs_1.5_it2fuzzy_implication_tlk_intersection_tl_and_union_tln_reduction_centerofsets,800,1052,86400.0,109.98596858127551,23794,0.007078577091575841,0.09891684282064754,7.156088780967728,0.12688145166148934,9.28595091142707,3526,930.1891140102068,2214.0472994913057,19.78325481798953,8.2028655547231,7.630662020905929E-4,8.148286999653812E-4,0.04478397212543542,0.018249495277221948,0.030275261324041798,0.013307715617225725,0.3016724738675957,2.429731526517476
20110303_lrr_rs_1.2_it2fuzzy_implication_tlk_intersection_tl_and_union_tln_reduction_centerofsets,800,1052,86400.0,92.91256573683486,6510,0.0011026184970823478,0.024813060404465306,4.443702143585331,0.038380682423175876,8.370383188272545,1059,1618.8181983002555,6312.825207601672,19.80326757051433,8.199782084849234,2.891986062717772E-4,4.541822578598751E-4,0.04279790940766557,0.003739918263964462,0.010944250871080108,0.006064659755569943,0.24434843205574913,2.276584560868758
20110303_mad_rs_2.5_it2fuzzy_implication_tlk_intersection_tl_and_union_tln_reduction_centerofsets,800,1052,86400.0,108.0999774306475,22278,0.006788435048625621,0.09467887128456529,7.169957728184579,0.13115670551980957,9.09175864192743,3365,935.6368832095085,2408.394052178176,19.796961128051166,8.20167780314045,7.2822299651568E-4,5.182049225037073E-4,0.044714285714285686,0.003628062452995698,0.029770034843205565,0.014085505904020924,0.3034599303135882,2.4643933956865522
20110303_thr_rs_0.8_it2fuzzy_implication_tlk_intersection_tl_and_union_tln_reduction_centerofsets,800,1052,86400.0,74.32595064010819,2209,0.0031509670555020593,0.004849495119808998,64.97515674634111,10.710751108039148,14.0766829640469,786,819.8024122137311,3867.3047037389256,19.431887732004462,8.348927291270765,3.4843205574912894E-6,5.9028133610095526E-5,0.04395470383275253,0.001724373961422352,1.7421602787456446E-5,1.3106465582761925E-4,0.23278397212543672,2.3399088594753645
20110306_iqr_rs_1.5_it2fuzzy_implication_tlk_intersection_tl_and_union_tln_reduction_centerofsets,800,898,86400.0,85.61300759194324,17541,0.006618990213319558,0.09492118275557582,6.973143424016963,0.1205907008421394,9.564698859295422,2877,910.4865790754186,2320.476079097869,19.6521399276266,8.178239681586168,4.6689895470383307E-4,5.270167393928793E-4,0.04411498257839712,0.0032220859197918065,0.01798954703832749,0.009527099486164876,0.24296515679442468,2.1009190044162507
20110306_lrr_rs_1.2_it2fuzzy_implication_tlk_intersection_tl_and_union_tln_reduction_centerofsets,800,898,86400.0,73.44927509335635,5291,0.001157940727912643,0.025986128470266302,4.455995548692739,0.05114659963638575,8.831242561019618,1003,1519.075645064789,6221.906354276475,19.615419689118056,8.240159769302135,2.0557491289198621E-4,4.048269946436535E-4,0.04285714285714278,0.003049213389991309,0.006783972125435521,0.00393771714764845,0.21077003484320542,2.013126287749386
20110306_mad_rs_2.5_it2fuzzy_implication_tlk_intersection_tl_and_union_tln_reduction_centerofsets,800,898,86400.0,83.56313745678177,16242,0.006207363928382416,0.08970693086712,6.919603500399746,0.12373274229070637,9.383055880424038,2755,902.4958896551616,2577.978954769998,19.6300746151867,8.189312655411278,5.783972125435544E-4,5.419018010214075E-4,0.04482578397212543,0.003162990307831265,0.018191637630661985,0.00939916302074855,0.24717073170731682,2.157639803048649
20110306_thr_rs_0.8_it2fuzzy_implication_tlk_intersection_tl_and_union_tln_reduction_centerofsets,800,898,86400.0,56.35498149986529,1938,0.0029423402420184906,0.004896846937858586,60.08642457804062,12.525943352389534,16.89441191903869,789,683.5214651457543,2848.2446808769614,19.1208090815269,8.326661239084967,3.4843205574912894E-6,5.9028133610095526E-5,0.043034843205574685,0.0024987070558298787,3.4843205574912894E-6,5.9028133610095526E-5,0.2029825783972108,2.0264845658182606
20110309_iqr_rs_1.5_it2fuzzy_implication_tlk_intersection_tl_and_union_tln_reduction_centerofsets,800,1061,86400.0,92.29086003637795,20438,0.007300763373162424,0.10309281846146903,7.081738070718366,0.1269444267099274,9.640798792381394,3205,905.6382502340095,2183.191375582428,19.818450230345945,8.167030950981164,4.7735191637630697E-4,5.072991264469782E-4,0.04394076655052259,0.00279859669589775,0.021609756097560946,0.012028272737396619,0.27491289198606217,2.276932954919151
20110309_lrr_rs_1.2_it2fuzzy_implication_tlk_intersection_tl_and_union_tln_reduction_centerofsets,800,1061,86400.0,77.51847656942186,6968,0.0017842552498410174,0.03441814638195106,5.184053871003014,0.06834938470016494,8.751736294004782,1225,1384.310334693853,5015.3061925049915,19.8043905723886,8.187731399243898,2.3693379790940783E-4,4.259440430030583E-4,0.04211498257839734,0.003335130644484461,0.00805574912891983,0.0058611879789217,0.2318745644599307,2.146672560525477
20110309_mad_rs_2.5_it2fuzzy_implication_tlk_intersection_tl_and_union_tln_reduction_centerofsets,800,1061,86400.0,90.73267232584575,20280,0.007553205574233819,0.10395777161124305,7.265647827157674,0.1414666618098088,9.843858690725733,3131,893.3660146917896,2001.157972180369,19.891553235910955,8.173021965287335,5.540069686411154E-4,5.318949235906262E-4,0.04389198606271771,0.0026322711935073692,0.022881533101045258,0.01396473732479326,0.2793170731707312,2.2843233578696536
20110309_thr_rs_0.8_it2fuzzy_implication_tlk_intersection_tl_and_union_tln_reduction_centerofsets,800,1061,86400.0,62.754276985825065,2493,0.0048670392478282,0.008229472287141978,59.14157163433962,10.942188048921516,15.062072067021607,792,1123.5085252525041,5841.838469160676,19.503217007620197,8.290456015616146,0.0,0.0,0.04239721254355392,0.0017607986208929788,0.0,0.0,0.22317770034843035,2.176402560344895
20110322_iqr_rs_1.5_it2fuzzy_implication_tlk_intersection_tl_and_union_tln_reduction_centerofsets,800,1516,86400.0,116.62998451563966,27265,0.0068544419583603565,0.09311493822500629,7.3612699412386835,0.11913241369372843,9.325747873786963,3695,950.7816617050009,2473.4154607439623,19.431946199564358,8.15664948304106,7.560975609756103E-4,6.609138335242203E-4,0.04733797909407672,0.0027265952717235426,0.03802439024390242,0.018942388665389435,0.41142160278745704,3.109222736942997
20110322_lrr_rs_1.2_it2fuzzy_implication_tlk_intersection_tl_and_union_tln_reduction_centerofsets,800,1516,86400.0,96.21871111455764,11519,0.0020322021589642358,0.036239234109088594,5.60774036461927,0.06632738639757366,8.704391014404242,1472,1532.1939999999738,4493.122250838054,19.537784275268002,8.190838245455682,3.5888501742160304E-4,4.87733602648372E-4,0.04356794425087093,0.005647706721640599,0.01486411149825781,0.008431480377617803,0.3317874564459918,2.8244034149659796
20110322_mad_rs_2.5_it2fuzzy_implication_tlk_intersection_tl_and_union_tln_reduction_centerofsets,800,1516,86400.0,112.81457778869638,26659,0.006844344446507996,0.09277505012929439,7.377354619555032,0.12791826549328275,9.424876961315091,3600,954.1269955555499,2411.6874350305116,19.47609564801818,8.18943963244907,8.710801393728228E-4,6.319853420580293E-4,0.048066202090592404,0.0030323097893053884,0.03814285714285714,0.019551540534258092,0.41786759581881566,3.1525016478584913
20110322_thr_rs_0.8_it2fuzzy_implication_tlk_intersection_tl_and_union_tln_reduction_centerofsets,800,1516,86400.0,76.50583001774346,3010,0.003036124995275724,0.005645772402418593,53.77696405145696,9.290982797110876,13.989836604523964,786,952.9011806615672,3686.509400911149,19.67350963455003,8.277318760393147,0.0,0.0,0.04364111498257821,0.0023563890557031716,6.968641114982579E-6,8.333231808223123E-5,0.3069268292682958,2.828761707059579
20110325_iqr_rs_1.5_it2fuzzy_implication_tlk_intersection_tl_and_union_tln_reduction_centerofsets,800,1078,86400.0,98.24383351591015,21793,0.006399391065848168,0.09026898550894888,7.089246688403028,0.11490745299050545,9.200336309599418,3471,869.8391149524622,2067.587956685473,19.623771273505433,8.176505660482414,6.027874564459934E-4,8.335570632801377E-4,0.0431986062717769,0.0029528221907000403,0.024689895470383246,0.013070732893783877,0.29365505226480765,2.3720035958903383
20110325_lrr_rs_1.2_it2fuzzy_implication_tlk_intersection_tl_and_union_tln_reduction_centerofsets,800,1078,86400.0,81.46165044470145,7227,0.0013074093985740898,0.027595271190947037,4.737802319561915,0.04508062613866909,8.455484223006586,1238,1336.9043974151582,4902.914887860585,19.584894130859688,8.191221819516254,2.996515679442511E-4,4.664625287823477E-4,0.041996515679442604,0.0027804238971477374,0.009331010452961643,0.005565111728962361,0.24968292682926838,2.2678133442036286
20110325_mad_rs_2.5_it2fuzzy_implication_tlk_intersection_tl_and_union_tln_reduction_centerofsets,800,1078,86400.0,97.28470566936522,21412,0.006525813746224104,0.09170658991594248,7.11597034870189,0.12487267146158336,9.086072366809917,3372,882.6163843416381,2214.3516005332262,19.44060493583714,8.171012959367557,6.480836236933803E-4,5.529844204011568E-4,0.044668989547038324,0.0029985742573452176,0.025700348432055715,0.013951493135766204,0.3038885017421597,2.4391781749890384
20110325_thr_rs_0.8_it2fuzzy_implication_tlk_intersection_tl_and_union_tln_reduction_centerofsets,800,1078,86400.0,63.58424056948537,2310,0.003051997918422271,0.004601682782880144,66.32351820896395,12.468419666846668,15.381249360030333,787,673.0233646759856,956.9710701601183,19.510005194804158,8.366291710944004,0.0,0.0,0.042132404181184746,0.002811669390085416,3.4843205574912894E-6,5.9028133610095526E-5,0.23239372822299578,2.247877813875651
20110403_iqr_rs_1.5_it2fuzzy_implication_tlk_intersection_tl_and_union_tln_reduction_centerofsets,800,1463,86400.0,151.72750385311392,33074,0.007214759548169976,0.098864210257681,7.29764545669796,0.128214935286194,9.398994376878209,4115,1055.4159280680421,2510.9446269868326,19.577829372795414,8.163049722401801,9.651567944250878E-4,5.53600951761363E-4,0.04276655052264795,0.0025068848449689555,0.05471777003484321,0.020694762974972383,0.40169337979094116,2.629799808260972
20110403_lrr_rs_1.2_it2fuzzy_implication_tlk_intersection_tl_and_union_tln_reduction_centerofsets,800,1463,86400.0,130.1170226482751,9866,0.001322771512305694,0.028046671907520734,4.71632255216346,0.04261832570131238,8.493184176104036,1256,2020.1090445859616,7342.13920676529,19.758751960376046,8.166056453377836,4.7038327526132437E-4,6.299579790618107E-4,0.0427386759581881,0.0033644587761136584,0.020937282229965135,0.00922425941843946,0.3126829268292668,2.5388580565444996
20110403_mad_rs_2.5_it2fuzzy_implication_tlk_intersection_tl_and_union_tln_reduction_centerofsets,800,1463,86400.0,151.63179247370192,32509,0.007323371557360261,0.10010818090085466,7.315457629395141,0.14082553732514533,9.32599254204656,4272,1010.4508764044956,2445.949257868892,19.56148404655312,8.192080739561584,0.0010348432055749136,7.610527488409455E-4,0.0469686411149826,0.0024882364988577173,0.057529616724738664,0.022727136229214136,0.43298257839721244,2.8671329109523427
20110403_thr_rs_0.8_it2fuzzy_implication_tlk_intersection_tl_and_union_tln_reduction_centerofsets,800,1463,86400.0,108.78006416543062,2832,0.002985787154264236,0.0046657444321829295,63.993799867587185,11.610009563968319,15.88665952685219,779,783.5932169447958,2534.6818892145516,19.686022598868675,8.248518170690138,0.0,0.0,0.04178745644599316,0.0019683108757297457,0.0,0.0,0.272390243902438,2.474674409814309
20110409_iqr_rs_1.5_it2fuzzy_implication_tlk_intersection_tl_and_union_tln_reduction_centerofsets,800,1358,86400.0,120.39672864070016,27278,0.007360430503473256,0.10015545663891776,7.349005985773907,0.1280814679090906,9.454914319474709,3666,973.1447943262358,2324.264760604112,19.92673618189198,8.194823260962908,7.456445993031365E-4,5.303121384220747E-4,0.045310104529616646,0.0026174513152371647,0.03699303135888501,0.016108893654275192,0.36956097560975637,2.8864860679673585
