Experiment name, Number of hosts, Number of VMs, Total simulation time, Energy consumption, Number of VM migrations, SLA, SLA perf degradation due to migration, SLA time per active host, Overall SLA violation, Average SLA violation, Number of host shutdowns, Mean time before a host shutdown, StDev time before a host shutdown, Mean time before a VM migration, StDev time before a VM migration, VM selection mean, VM selection stDev, host selection mean, host selection stDev, VM reallocation mean, VM reallocation stDev, total mean, total stDev
20110412_iqr_rs_1.5,800,1054,86400.0,103.28286118595314,22679,0.007220064133983086,0.09919917814324375,7.278350757661826,0.1261409129945445,9.346136655815913,3262,925.118817903126,2191.145063005742,19.812220333414007,8.170988821743926,0.001170731707317074,8.291754821597822E-4,0.00823693379790939,0.004164404818051308,0.04897212543554006,0.023539267668935788,0.13529616724738694,0.22733952171171598
20110412_iqr_rs_1.5_admissible_orders_lex1,800,1054,86400.0,97.60714067790607,4472,7.605743203886808E-4,0.023343357444104575,3.258204490120447,0.027788252494252166,9.232926770215526,908,1164.5524669603333,6014.372289025092,19.851257926691115,8.038760461973302,5.888501742160284E-4,6.073107076740572E-4,0.01220905923344946,0.005993427765860788,1.5446411149825785,1.1486812171283065,1.9389163763066208,3.129385412970524
20110412_iqr_rs_1.5_admissible_orders_lex2,800,1054,86400.0,94.69608435861579,4819,9.08065492674242E-4,0.025809808559313925,3.518296118266056,0.03046372110375251,9.095925124934595,905,1313.8801502762212,6782.504719531943,20.206166944906947,7.995174379621137,6.236933797909412E-4,6.295710744809932E-4,0.011797909407665487,0.005193553947649814,1.8078013937282225,1.1743793505588513,2.224198606271779,3.4290557231875556
20110412_iqr_rs_1.5_admissible_orders_xuandyager,800,1054,86400.0,95.39745734464002,4571,8.509270413440111E-4,0.02487856342151617,3.42032225465273,0.030655856786444297,9.20480011207271,918,1097.3555468409359,5279.389945591588,19.975023961309027,8.009267850054863,5.505226480836241E-4,5.452189577572101E-4,0.011010452961672459,0.0055182369743060015,1.5094425087108023,1.2347626804078384,1.904993031358884,3.4961479351661655
20110412_lrr_rs_1.2,800,1054,86400.0,85.9710952370702,8429,0.001765179414445712,0.03453210460267893,5.11170528050808,0.061655110564322886,8.712810911768525,1259,1561.6789960285705,5043.143986375272,19.945104219867265,8.188017725412047,5.749128919860632E-4,8.196438183071716E-4,0.00550871080139372,0.005738999274073833,0.020041811846689864,0.01344809995909939,0.06687804878048781,0.10970948177156345
20110412_lrr_rs_1.2_admissible_orders_lex1,800,1054,86400.0,90.18648597467035,3144,2.8526535652062545E-4,0.012004159041664082,2.3763876797243797,0.022347870667077507,8.546638891338569,803,1245.7443636363419,6858.677364634744,20.0023586470946,8.138870161996751,2.7526132404181205E-4,4.55173660092055E-4,0.010393728222996501,0.006052367250792573,0.6295505226480839,0.7135016208797129,1.0881951219512191,3.001257548242939
20110412_lrr_rs_1.2_admissible_orders_lex2,800,1054,86400.0,87.16635830910384,3439,3.3895639377774436E-4,0.013030521060592654,2.601249729013737,0.020760564681922666,8.485806577869916,810,1155.9549283950485,5792.171537584546,19.98004788321024,8.144573658402317,3.867595818815334E-4,5.224662013063782E-4,0.01042857142857141,0.005648901655197223,0.6600104529616725,0.6785760001667032,1.0899965156794433,2.841807575679716
20110412_lrr_rs_1.2_admissible_orders_xuandyager,800,1054,86400.0,89.21273459124397,3311,3.24188824668032E-4,0.012474024670701826,2.59891120329003,0.027961182048732738,8.337907077596322,797,1094.6139824341105,5465.718619231888,19.905872082447505,8.139874437526846,2.996515679442511E-4,5.025458443993516E-4,0.010494773519163744,0.0062033552167380015,0.6891951219512196,0.803734559114253,1.189289198606272,3.5446939135202147
20110412_lr_rs_1.2,800,1054,86400.0,87.57177505684629,8168,0.00170408331067715,0.033488462049827424,5.088568439307984,0.0552006325727997,8.334911075042356,1235,1655.749321457465,6153.541245626666,19.7646618127005,8.191291394230195,4.355400696864114E-4,5.688827576225833E-4,0.0051637630662020855,0.0030630342467580954,0.017087108013937244,0.010326627659113623,0.06039024390243905,0.11162246391269236
20110412_lr_rs_1.2_admissible_orders_lex1,800,1054,86400.0,89.04935065930658,3547,4.027250775839541E-4,0.014398656913994194,2.7969627999993647,0.02957702892024311,8.362313751981446,842,1188.6336484560359,5961.824051741072,19.880142654966335,8.142917758087282,3.449477351916379E-4,5.183694655872821E-4,0.010714285714285697,0.006079476947899379,0.6672648083623696,0.6789906120924396,1.086616724738676,2.942302758710444
