"Experiment name","Number of hosts","Number of VMs","Total simulation time","Energy consumption","Number of VM migrations",SLA,"SLA perf degradation due to migration","SLA time per active host","Overall SLA violation","Average SLA violation","Number of host shutdowns","Mean time before a host shutdown","StDev time before a host shutdown","Mean time before a VM migration","StDev time before a VM migration","VM selection mean","VM selection stDev","host selection mean","host selection stDev","VM reallocation mean","VM reallocation stDev","total mean","total stDev"
20110303_iqr_rs_1.5_it2fuzzy_intersection_o2_and_union_minmax,800,1052,86400,128.74446693869842,8245,0.001946496482109485,0.0358180147075957,5.434406395775766,0.5693884281796353,7.8529980468042355,783,3241.4648020434047,4684.372591450045,19.740962395031257,8.28207741196026,0.003010452961672475,0.008485480944356978,0.03875261324041817,0.0032546016589262683,0.023905923344947698,0.050648606381890386,0.07512543554006965,0.07724793170156585
20110303_iqr_rs_1.5_it2fuzzy_intersection_om_and_union_minmax,800,1052,86400,128.94983667494094,8175,0.0018685471807106308,0.03405234377989438,5.4872792098788885,0.569454390838066,7.711695207412893,783,3271.686125159627,4682.837850160703,19.62862206947004,8.286331186074953,0.002637630662020907,0.007045881996447836,0.03824041811846701,0.0033263154765807313,0.022313588850174183,0.04216209882032986,0.07111498257839723,0.057528989517262666
20110303_iqr_rs_1.5_it2fuzzy_intersection_odb_and_union_minmax,800,1052,86400,135.41029850781794,8428,0.0017089309843132357,0.03608307110440985,4.736101811756208,0.4463223264331507,7.748128401437532,783,3270.5334712643507,4682.642958526968,19.492108082367746,8.268491371910146,0.0025783972125435557,0.007032886301496881,0.03795470383275265,0.003146988320426584,0.021993031358884974,0.040622085094466666,0.07041463414634146,0.0559767577434651
20110303_iqr_rs_1.5_it2fuzzy_intersection_om3_and_union_minmax,800,1052,86400,128.99492358920514,8292,0.00189349058473411,0.03428666635095834,5.522527519451261,0.5865052439061168,7.884608773093922,783,3252.7792541506847,4591.964047521556,19.457961752599005,8.295733503053642,0.0027108013937282246,0.006978738067864283,0.03753658536585373,0.002960914297025592,0.022648083623693336,0.041378664836571495,0.07069686411149824,0.056697720973231294
20110303_iqr_rs_1.5_it2fuzzy_intersection_o2db_and_union_minmax,800,1052,86400,133.4337653123143,6748,0.0022557096476056647,0.02481671936283301,9.089475585495595,1.3179157750386206,7.798118527328642,783,3165.08262068964,3959.008035917874,19.38677380952229,8.326952887279775,0.0031289198606271793,0.007175187910883752,0.038278745644599405,0.0029362101235474573,0.02001393728222991,0.042538914485825995,0.06891986062717774,0.05670618535330308
20110303_iqr_rs_1.5_it2fuzzy_intersection_a_and_union_minmax,800,1052,86400,131.9404079715835,8460,0.00189375219257059,0.03670169953094444,5.159848772054558,0.47073434354255483,7.754862106697457,783,3299.18344316729,4793.156348836215,19.628033669231808,8.270510943042868,0.002668989547038329,0.0071457244312066424,0.03793379790940781,0.002783406224532246,0.02236585365853655,0.04316234540336945,0.07141114982578395,0.05793381454948137
20110303_iqr_rs_1.5_it2fuzzy_intersection_tl_and_union_minmax,800,1052,86400,129.27361394107217,8338,0.001915500377176892,0.0352411742811255,5.435404512620902,0.5251472669497169,7.520593765611727,782,3180.7824757033095,3782.5760690776347,19.65858201057869,8.276451499397785,0.002728222996515681,0.007167526173415912,0.03814982578397224,0.0029745761238192917,0.022470383275261293,0.042238148429112256,0.0713623693379791,0.05805315606090973
20110303_iqr_rs_1.5_it2fuzzy_intersection_o2_and_union_o2n,800,1052,86400,135.05261620121007,8219,0.001780723196927547,0.03563836019399768,4.996647396889664,0.46921472894388955,7.697226221272511,783,3266.7303346104563,4629.326782816237,19.620552448403124,8.275625879927215,0.002679442508710803,0.00715915686103078,0.03854703832752621,0.003298185018250153,0.022275261324041774,0.04201037394174415,0.0715400696864111,0.057830814528986516
20110303_iqr_rs_1.5_it2fuzzy_intersection_om_and_union_omn,800,1052,86400,129.15091897488736,8084,0.0018052467502106951,0.033705347383738496,5.355965418952055,0.5421596592940681,7.586020699541692,783,3257.8291851851695,4713.931249366435,19.615187585347332,8.262610863644401,0.0026968641114982596,0.0071057514323632715,0.03833101045296178,0.003235270012276861,0.02186411149825779,0.04169904244797993,0.0710696864111498,0.05712410138454895
20110303_iqr_rs_1.5_it2fuzzy_intersection_odb_and_union_odbn,800,1052,86400,129.5221542517888,8217,0.001852860625674847,0.034612701458247117,5.353123413120269,0.5274598315383122,7.547325914227473,783,3275.354314176228,4723.928743014894,19.59004296874641,8.279197307425244,0.0026550522648083634,0.007189456677832735,0.03805923344947748,0.003210555706075552,0.022066202090592284,0.04185053918327749,0.07096167247386755,0.05729474091967944
20110303_iqr_rs_1.5_it2fuzzy_intersection_om3_and_union_om2n,800,1052,86400,131.40080002168168,8464,0.0019978412103375367,0.03711842595681512,5.382343563441768,0.5487101122820044,7.922337402013099,783,3265.871933588743,4682.495150957021,19.573168326217385,8.268776767066454,0.0027108013937282246,0.007057951057619082,0.038212543554007085,0.003335565312696522,0.023062717770034807,0.041685002211480304,0.07216376306620209,0.05664924909963112
20110303_iqr_rs_1.5_it2fuzzy_intersection_a_and_union_an,800,1052,86400,133.64519334702726,8334,0.0018478241728290832,0.035413620475730746,5.217834686220272,0.4909865349427867,7.465400999310651,783,3269.724357598961,4645.762029141311,19.621913797251672,8.248747342523663,0.002710801393728224,0.0071534129258969525,0.038094076655052336,0.0028716482014175867,0.021989547038327478,0.04197988898466429,0.07102787456445989,0.05820333831423481
20110303_iqr_rs_1.5_it2fuzzy_intersection_tl_and_union_tln,800,1052,86400,131.09252635699386,8434,0.001965269586086684,0.03635223511519586,5.40618638677644,0.5664597429800564,7.907802925900621,783,3268.6638212004937,4716.33165003819,19.59466539787923,8.288904052918266,0.0027665505226480854,0.007062993007736428,0.0380383275261325,0.0026527320638996036,0.023003484320557436,0.04171636648333968,0.07178397212543551,0.056631201902505104
20110303_iqr_rs_1.5_it2fuzzy_intersection_maxmin_and_union_minmax,800,1052,86400,132.3396816905716,6730,0.0023001396821421822,0.024905114632522127,9.235611704989163,1.4034392133042255,8.109371609010598,783,3197.2203473818486,3999.023084943624,19.121484265471935,8.353919425513691,0.0030627177700348453,0.007148492696551851,0.037972125435540176,0.0031209740519847285,0.01921602787456441,0.04176652582238494,0.0682473867595819,0.05884225194345024
20110303_lr_rs_1.2_it2fuzzy_intersection_o2_and_union_minmax,800,1052,86400,126.24795613804545,4367,0.0005267895801010976,0.01386408506098147,3.7996707159830785,0.2937761585169672,6.944326794127203,782,2868.931447570317,4637.543133607568,19.513262189511266,8.295170524088649,0.0020905923344947744,0.006874408963610039,0.0364773519163762,0.003511022995314035,0.013829268292682882,0.04116598815686638,0.061853658536585365,0.06828713169733687
20110303_lr_rs_1.2_it2fuzzy_intersection_om_and_union_minmax,800,1052,86400,122.30853457445996,4317,0.0005549574172597689,0.013823296692680705,4.014653158342562,0.3465816858602513,7.378311829886167,782,2866.2909360613635,4650.987096349335,19.767713221600346,8.311950093780736,0.001986062717770036,0.006477487709831472,0.03649825783972117,0.003224550236388406,0.013337979094076606,0.040236287071501266,0.06095470383275259,0.06266545682866158
20110303_lr_rs_1.2_it2fuzzy_intersection_odb_and_union_minmax,800,1052,86400,125.29945860784942,4299,0.0005264863806135475,0.013806463292430094,3.8133327084729456,0.34500379341858756,7.543606617152185,782,2849.3011048593175,4647.147810152987,19.460059757235154,8.331225743498614,0.0020592334494773526,0.006589351717255832,0.036898954703832594,0.0036690301334710673,0.013442508710801342,0.04095421293738567,0.0613310104529617,0.061891331397234225
20110303_lr_rs_1.2_it2fuzzy_intersection_om3_and_union_minmax,800,1052,86400,124.24251501603223,4262,0.0005164834862413971,0.014003535946656098,3.688236229826854,0.3159779232774107,7.216530497045105,782,2867.2743427109813,4641.677818615856,19.55909729092956,8.332934199682787,0.0020418118466898967,0.006563167583850445,0.03622299651567932,0.0028046715668487653,0.013341463414634104,0.04102542860539698,0.060878048780487796,0.0631305322081062
20110303_lr_rs_1.2_it2fuzzy_intersection_o2db_and_union_minmax,800,1052,86400,122.3125121274132,4325,0.0005120954475790459,0.01322338714749754,3.8726495856695644,0.3127813236117489,7.155751245998802,782,2865.180900255737,4664.326143963939,19.60645203251928,8.265190203356166,0.002034843205574914,0.006475249156300372,0.03667595818815321,0.003668455645557197,0.013261324041811805,0.040277073624820914,0.06159930313588851,0.06367242763921228
20110303_lr_rs_1.2_it2fuzzy_intersection_a_and_union_minmax,800,1052,86400,122.44368069239249,4356,0.0005857631286788501,0.014092687002298578,4.156504210895407,0.37916289899843547,7.375110832036906,782,2877.849237851644,4641.742416980695,19.57378566489865,8.296371653353265,0.0020418118466898967,0.00661781296607762,0.03690592334494762,0.003598008350741498,0.013721254355400649,0.041230025905683455,0.06179094076655053,0.0649707157391491
20110303_lr_rs_1.2_it2fuzzy_intersection_tl_and_union_minmax,800,1052,86400,125.82904957312735,4300,0.0004951901011502033,0.013646031883490502,3.628821223474522,0.2991756224326163,7.369342358411844,782,2843.92297698208,4645.687693182093,19.55197388059592,8.278500737663926,0.002073170731707318,0.006593454959497076,0.03714634146341458,0.003661295224665154,0.013205574912891942,0.04049962751620731,0.06121602787456444,0.0619868192134023
20110303_lr_rs_1.2_it2fuzzy_intersection_o2_and_union_o2n,800,1052,86400,126.19441528426137,4447,0.0005505119431942655,0.014179296443281496,3.8825053513505723,0.32220943721951323,7.216300794178493,782,2882.168705882335,4647.127834159274,19.459508581751386,8.271980220079156,0.0020034843205574923,0.0065933311602777095,0.03672125435540061,0.0029266680429591817,0.013853658536585314,0.04153866905400436,0.06191986062717768,0.0641796309101005
20110303_lr_rs_1.2_it2fuzzy_intersection_om_and_union_omn,800,1052,86400,123.69167355652145,4158,0.0004999942469855118,0.013320252592923255,3.7536393810665967,0.28812761096394046,7.175079210792383,782,2836.173882352925,4640.98811724456,19.658546859902362,8.298811475956903,0.0019965156794425096,0.006629294100024032,0.03670034843205566,0.003894693343744404,0.013184668989546988,0.04120217984862158,0.06063066202090597,0.061664296721195444
20110303_lr_rs_1.2_it2fuzzy_intersection_odb_and_union_odbn,800,1052,86400,123.8305559523403,4382,0.0005343918793831152,0.013893564061038173,3.846326810279836,0.30576595839099835,7.324244537546646,782,2840.566578005098,4647.596547910114,19.73715700206164,8.302916966193521,0.002006968641114983,0.006572879770012621,0.03681881533101034,0.0038305810315413884,0.013714285714285656,0.04092431063315789,0.06141114982578393,0.06230837713550794
20110303_lr_rs_1.2_it2fuzzy_intersection_om3_and_union_om2n,800,1052,86400,123.97330960877333,4229,0.00048159917666933214,0.013429409553114944,3.586153023068877,0.3163080225745382,7.186221830055538,782,2851.6166445012623,4644.5560404820335,19.569425855512215,8.285091608025258,0.0020278745644599313,0.0065744198615299496,0.036519163763066104,0.003578121454676541,0.013083623693379735,0.04092898476405127,0.06090940766550525,0.06379785724856324
20110303_lr_rs_1.2_it2fuzzy_intersection_a_and_union_an,800,1052,86400,124.29606187080682,4427,0.0005722073795668452,0.014221565633090507,4.023518889055663,0.32527402502701797,7.123630384655899,782,2867.466097186684,4638.039314039624,19.45902722322948,8.319492861979475,0.0020871080139372835,0.0065288017886886845,0.036902439024390145,0.0036810174049106323,0.013533101045296122,0.040932207108967805,0.06150871080139371,0.06422893190056492
20110303_lr_rs_1.2_it2fuzzy_intersection_tl_and_union_tln,800,1052,86400,122.50626173775136,4287,0.0005325645273361716,0.013594680542371281,3.917447899391962,0.32085792644390415,7.032466342145495,782,2870.6380255754307,4649.217321418718,19.542796161945972,8.284800432470034,0.0020313588850174227,0.006758242253483165,0.036655052264808245,0.003273569817554789,0.013630662020905881,0.04104078008493231,0.0615714285714286,0.06325468239707506
20110303_lr_rs_1.2_it2fuzzy_intersection_maxmin_and_union_minmax,800,1052,86400,125.86365550635269,4338,0.0005166268187130202,0.01421814036803925,3.633575174671492,0.3057111513035178,7.412197973423574,782,2848.069698209701,4632.456728477381,19.595410565337062,8.298561347186045,0.0019651567944250882,0.00646281768854186,0.036902439024390096,0.003703744227546923,0.01336585365853654,0.039993731386684314,0.06172125435540067,0.0627493543373138
20110303_lrr_rs_1.2_it2fuzzy_intersection_o2_and_union_minmax,800,1052,86400,126.11143778231683,4328,0.0005419077541897139,0.014023371219900908,3.864318684088455,0.33607591668865877,7.272354204251304,782,2869.982823529395,4636.187944651967,19.54342658315824,8.260710051312172,0.0021080139372822307,0.00674968312334285,0.0370034843205574,0.003021482822461787,0.014393728222996467,0.04144186714104069,0.0651219512195122,0.09121906951034563
20110303_lrr_rs_1.2_it2fuzzy_intersection_om_and_union_minmax,800,1052,86400,123.68738467847803,4271,0.0005395222873049441,0.013390134116316545,4.029252303361991,0.3944321509286168,7.2770146789411365,782,2859.619508951389,4643.201999875578,19.420295251526873,8.313135951776626,0.0020209059233449486,0.006606807933075186,0.03719512195121943,0.00370553978152826,0.014108013937282185,0.04161048363260953,0.06495818815331013,0.08323228718635674
20110303_lrr_rs_1.2_it2fuzzy_intersection_odb_and_union_minmax,800,1052,86400,126.35327968740526,4336,0.0005242027329943112,0.01431165446091838,3.66276823148421,0.3033836799706594,7.470919569673757,782,2879.276961636812,4775.512432326108,19.5642954387578,8.308274947864062,0.002000000000000001,0.006610544659806837,0.03691986062717755,0.0034464721977520603,0.01427177700348428,0.04115087375096159,0.06510104529616717,0.08261212066894917
20110303_lrr_rs_1.2_it2fuzzy_intersection_om3_and_union_minmax,800,1052,86400,122.57890792932277,4257,0.0005155691875997138,0.013139160766044485,3.923912621056427,0.3224894683458748,7.087502286931205,782,2879.6112429667355,4781.892218434108,19.4359264497868,8.301862169677525,0.0020662020905923358,0.00653440120912496,0.03670034843205563,0.002967322004463053,0.01389198606271772,0.04103834347111189,0.06464111498257837,0.08450034209479322
20110303_lrr_rs_1.2_it2fuzzy_intersection_o2db_and_union_minmax,800,1052,86400,122.50277683747315,4249,0.0005707240146722093,0.014112072784018489,4.044225277228854,0.3595274881194982,7.4252170187390405,782,2878.575641943717,4779.347986812016,19.527599243855377,8.299407912980495,0.0020383275261324054,0.006541577191938183,0.03648083623693371,0.0029146630743062296,0.014083623693379748,0.04023992698658721,0.06417073170731709,0.08481325916731193
