Experiment name, Number of hosts, Number of VMs, Total simulation time, Energy consumption, Number of VM migrations, SLA, SLA perf degradation due to migration, SLA time per active host, Overall SLA violation, Average SLA violation, Number of host shutdowns, Mean time before a host shutdown, StDev time before a host shutdown, Mean time before a VM migration, StDev time before a VM migration, VM selection mean, VM selection stDev, host selection mean, host selection stDev, VM reallocation mean, VM reallocation stDev, total mean, total stDev
20110303_it2fuzzy_rs_0.6,800,1052,86400.0,258.0738488232297,12561,0.001977853490206563,0.04407824007379332,4.487142605728703,0.1929558548811219,9.995397921062283,742,1775.3900269541746,9689.7090427559,19.43108690689381,8.204738560088064,,,,,,,,
20110303_it2fuzzy_mc_0.6,800,1052,86400.0,258.08471872546,11691,0.001856338167817927,0.03978819462948338,4.665550133914257,0.24567692694377002,10.153081526155457,739,1585.3276481732041,8975.550185819104,19.15529853495595,8.205812493316085,,,,,,,,
20110303_it2fuzzy_mmt_0.6,800,1052,86400.0,254.58401261953983,12694,9.667625401794577E-4,0.024787274220115053,3.90023740244469,0.2826578356724082,9.987968917615985,740,1407.2604540540528,8142.7199048671255,12.485820765379398,5.0463409803331505,,,,,,,,
20110303_it2fuzzy_mu_0.6,800,1052,86400.0,255.80154327363596,14235,0.0015298426071513372,0.03761615696411058,4.066982729285593,0.13608543431816453,10.256189031970134,741,1671.7880971659888,9424.757792884202,19.37524390419161,7.986998726700697,,,,,,,,
20110303_thr_rs_0.6,800,1052,86400.0,279.43466577336153,27092,0.0069337885090370414,0.11617696478107437,5.968298898239575,0.13803665378185728,10.030106724958904,3967,1730.3319667254775,3938.6195143524756,19.65285793523916,8.141053482782805,5.191637630662025E-4,5.535789446077791E-4,0.0033310104529616752,0.002259056371297878,0.05135888501742163,0.019689906793118602,0.08930662020905927,0.08149771581640994
20110303_thr_mu_0.6,800,1052,86400.0,321.01992167465016,67931,0.015693787320151885,0.17301587438199384,9.070721040025662,0.3000110878508852,10.05927256770088,10202,962.5912817094029,1585.8159671706023,19.821322567223827,8.12488202186141,9.477351916376313E-4,6.537038846390492E-4,0.0034564459930313614,0.0019335152006550037,0.13095470383275265,0.05066613643887548,0.23263414634146343,0.12168204275591049
20110303_thr_mmt_0.6,800,1052,86400.0,296.99113475332007,43772,0.0064676035297192205,0.12462708792096282,5.189564835070933,0.15290393339286784,10.077580967291093,6662,1244.9788796157782,2096.198419873771,15.165190026137536,7.321801640894503,6.655052264808367E-4,5.543486751530276E-4,0.003327526132404184,0.0020476940327078747,0.08477351916376309,0.0296923784542681,0.1488641114982579,0.10928553254477884
20110303_thr_mc_0.6,800,1052,86400.0,280.1101210553837,27820,0.007236324068061881,0.11945368403265097,6.0578492213634325,0.1492969675256718,10.0809932103663,4049,1729.1000049394859,3943.498258702568,19.53917170947574,8.1307168245168,0.009470383275261292,0.005496183754804095,0.0032648083623693404,0.0019467334703048987,0.05593031358885016,0.022322227489905852,0.10658885017421606,0.08640054479562598
20110306_thr_mc_0.6,800,898,86400.0,208.69947651222031,21945,0.007374560074048399,0.12105119306501612,6.092100281975372,0.14775471283519295,10.121156923009613,3406,1550.6183440986506,3431.0708019222043,19.588509741668126,8.11521998684772,0.007526132404181157,0.004607516664600969,0.003609756097560977,0.00208582686638354,0.036651567944250854,0.014205184318373658,0.07252961672473865,0.07899401363212737
20110306_thr_rs_0.6,800,898,86400.0,208.43947744324691,21982,0.0075223302359263165,0.1236914793301751,6.081526614979379,0.1442097613512063,10.136205190629246,3386,1540.8982067336067,3500.0126935790836,19.8512224479945,8.090213929858841,4.1463414634146373E-4,5.074912124540308E-4,0.0035644599303135908,0.00206583724818201,0.03781184668989541,0.015513341846589382,0.06684320557491297,0.0806384043283684
