Experiment name, Number of hosts, Number of VMs, Total simulation time, Energy consumption, Number of VM migrations, SLA, SLA perf degradation due to migration, SLA time per active host, Overall SLA violation, Average SLA violation, Number of host shutdowns, Mean time before a host shutdown, StDev time before a host shutdown, Mean time before a VM migration, StDev time before a VM migration, VM selection mean, VM selection stDev, host selection mean, host selection stDev, VM reallocation mean, VM reallocation stDev, total mean, total stDev
20110303_iqr_rs_1.5,800,1052,86400.0,243.28808450545083,24777,0.008796098319316178,0.11683394467459346,7.528718082587316,0.2032248342947848,10.324320234212975,3910,1337.7334179028126,3773.8938029338415,19.766834723244667,8.120249158232564,0.001324041811846691,6.866970492193017E-4,0.006355400696864098,0.002312741485346229,0.0560174216027875,0.01732382983182152,0.10809059233449476,0.08443174188100408
20110303_thr_rs_0.8,800,1052,86400.0,245.08874346740427,25982,0.008626859919539714,0.12119263225182492,7.118303942449282,0.1832323705631931,10.55680078464333,4003,1323.3966525106125,3743.4925763105884,19.65090590085477,8.138179083956809,4.7386759581881567E-4,5.469368194825964E-4,0.002853658536585368,0.0017419682406767697,0.02980139372822298,0.011109386103164807,0.05701393728222994,0.0606525685425377
20110303_it2fuzzy_rs_0.8,800,1052,86400.0,254.21440189757612,11433,0.0016130494400793014,0.040443050286611625,3.9884465406242855,0.14984036711480825,9.712269548909864,741,1301.3450850202428,7829.14374320283,19.406901808554384,8.193793913945708,,,,,,,,
20110303_thr_rs_0.4,800,1052,86400.0,356.99003342079135,29936,0.007301743142023323,0.14449687729374308,5.053218643043643,0.14462682290925064,10.037640785378342,4445,2033.2380868390735,4888.9602901026,19.783544565514223,8.07888575248267,5.400696864111503E-4,5.265310628650405E-4,0.0030000000000000022,0.001725984061056467,0.05874912891986063,0.018394467213369927,0.09528571428571428,0.07184220693507887
20110303_thr_rs_10,800,1052,86400.0,188.14135650093758,2106,0.003272119379027157,0.004599602378713316,71.13917920754041,13.43033554206919,16.4569161277884,777,962.7951042471046,5343.724406235648,19.714940170939318,8.2030631493971,6.968641114982579E-6,8.333231808223119E-5,0.0026411149825783992,0.0017719994269892593,1.3937282229965158E-5,1.1743545870740517E-4,0.013052264808362293,0.058468215501019744
20110303_thr_rs_2,800,1052,86400.0,188.14135650093758,2106,0.003272119379027157,0.004599602378713316,71.13917920754041,13.43033554206919,16.4569161277884,777,962.7951042471046,5343.724406235648,19.714940170939318,8.2030631493971,1.0452961672473868E-5,1.018816177649365E-4,0.0027142857142857164,0.0016876468375083237,1.7421602787456446E-5,1.5547009680391693E-4,0.014578397212543483,0.0701477458296027
20110303_thr_rs_1.2,800,1052,86400.0,199.8437577593638,9247,0.04438930150260838,0.07725996236441193,57.45446948736195,5.4059156965534205,11.146052985773535,1678,1865.9626912991482,5877.260031108978,19.733050938334735,8.137386880631441,4.529616724738679E-4,5.705934298274281E-4,0.0025958188153310125,0.0015042073657661583,0.005480836236933787,0.004013806852865353,0.020811846689895434,0.06426969616529402
20110303_thr_rs_1.8,800,1052,86400.0,188.24202437529567,2117,0.003552163822749613,0.004957974294982143,71.64546670491374,13.372055176552585,16.400459365973994,779,961.1239075738109,5336.953232202679,19.665851676900424,8.195942994881202,6.968641114982579E-6,8.333231808223124E-5,0.002721254355400699,0.0017538173634013394,4.181184668989548E-5,2.3278683967591053E-4,0.013233449477351854,0.056702183542427
20110303_thr_rs_9.5,800,1052,86400.0,188.14135650093758,2106,0.003272119379027157,0.004599602378713316,71.13917920754041,13.43033554206919,16.4569161277884,777,962.7951042471046,5343.724406235648,19.714940170939318,8.2030631493971,3.4843205574912894E-6,5.9028133610095526E-5,0.002630662020905925,0.0015406498653971798,2.7874564459930316E-5,1.6490093958266796E-4,0.014411149825783896,0.06741639433325589
20110303_it2fuzzy_rs_9.5,800,1052,86400.0,188.14135650093758,2106,0.003272119379027157,0.004599602378713316,71.13917920754041,13.43033554206919,16.4569161277884,777,962.7951042471046,5343.724406235648,19.714940170939318,8.2030631493971,,,,,,,,
20110303_it2fuzzy_rs_0.6,800,1052,86400.0,259.25813976413167,12591,0.001986451137231634,0.045047208321495495,4.409709749502379,0.17848442941117942,9.962721531528805,738,1459.3591436314343,8373.405508837279,19.445531153405124,8.215752715690849,,,,,,,,
